Coding System (Read),Codes,Description,Entity type,Category
Read,94876990,,res67: Hypertension_Drug_Code,drug
Read,94888998,,res67: Hypertension_Drug_Code,drug
Read,94889996,,res67: Hypertension_Drug_Code,drug
Read,94889997,,res67: Hypertension_Drug_Code,drug
Read,94890998,,res67: Hypertension_Drug_Code,drug
Read,94891996,,res67: Hypertension_Drug_Code,drug
Read,94891997,,res67: Hypertension_Drug_Code,drug
Read,94891998,,res67: Hypertension_Drug_Code,drug
Read,94916992,,res67: Hypertension_Drug_Code,drug
Read,94924992,,res67: Hypertension_Drug_Code,drug
Read,94949990,,res67: Hypertension_Drug_Code,drug
Read,94958992,,res67: Hypertension_Drug_Code,drug
Read,94972990,,res67: Hypertension_Drug_Code,drug
Read,94982990,,res67: Hypertension_Drug_Code,drug
Read,94992990,,res67: Hypertension_Drug_Code,drug
Read,94993990,,res67: Hypertension_Drug_Code,drug
Read,94995990,,res67: Hypertension_Drug_Code,drug
Read,95010990,,res67: Hypertension_Drug_Code,drug
Read,95011990,,res67: Hypertension_Drug_Code,drug
Read,95042990,,res67: Hypertension_Drug_Code,drug
Read,95043990,,res67: Hypertension_Drug_Code,drug
Read,95044990,,res67: Hypertension_Drug_Code,drug
Read,95058990,,res67: Hypertension_Drug_Code,drug
Read,95059990,,res67: Hypertension_Drug_Code,drug
Read,95061990,,res67: Hypertension_Drug_Code,drug
Read,95088992,,res67: Hypertension_Drug_Code,drug
Read,95100990,,res67: Hypertension_Drug_Code,drug
Read,95101990,,res67: Hypertension_Drug_Code,drug
Read,95102990,,res67: Hypertension_Drug_Code,drug
Read,95103990,,res67: Hypertension_Drug_Code,drug
Read,95112992,,res67: Hypertension_Drug_Code,drug
Read,95113998,,res67: Hypertension_Drug_Code,drug
Read,95114992,,res67: Hypertension_Drug_Code,drug
Read,95127990,,res67: Hypertension_Drug_Code,drug
Read,95128990,,res67: Hypertension_Drug_Code,drug
Read,95129990,,res67: Hypertension_Drug_Code,drug
Read,95133990,,res67: Hypertension_Drug_Code,drug
Read,95134990,,res67: Hypertension_Drug_Code,drug
Read,95135990,,res67: Hypertension_Drug_Code,drug
Read,95136990,,res67: Hypertension_Drug_Code,drug
Read,95137990,,res67: Hypertension_Drug_Code,drug
Read,95138990,,res67: Hypertension_Drug_Code,drug
Read,95145990,,res67: Hypertension_Drug_Code,drug
Read,84039998,,res67: Hypertension_Drug_Code,drug
Read,95146990,,res67: Hypertension_Drug_Code,drug
Read,95147990,,res67: Hypertension_Drug_Code,drug
Read,95148990,,res67: Hypertension_Drug_Code,drug
Read,95149990,,res67: Hypertension_Drug_Code,drug
Read,95150990,,res67: Hypertension_Drug_Code,drug
Read,95209990,,res67: Hypertension_Drug_Code,drug
Read,95276992,,res67: Hypertension_Drug_Code,drug
Read,95276998,,res67: Hypertension_Drug_Code,drug
Read,95324998,,res67: Hypertension_Drug_Code,drug
Read,95325997,,res67: Hypertension_Drug_Code,drug
Read,95325998,,res67: Hypertension_Drug_Code,drug
Read,95328990,,res67: Hypertension_Drug_Code,drug
Read,95329990,,res67: Hypertension_Drug_Code,drug
Read,95329998,,res67: Hypertension_Drug_Code,drug
Read,95330990,,res67: Hypertension_Drug_Code,drug
Read,95418998,,res67: Hypertension_Drug_Code,drug
Read,95419996,,res67: Hypertension_Drug_Code,drug
Read,95419997,,res67: Hypertension_Drug_Code,drug
Read,95419998,,res67: Hypertension_Drug_Code,drug
Read,95422992,,res67: Hypertension_Drug_Code,drug
Read,95423992,,res67: Hypertension_Drug_Code,drug
Read,95460990,,res67: Hypertension_Drug_Code,drug
Read,95465990,,res67: Hypertension_Drug_Code,drug
Read,95540992,,res67: Hypertension_Drug_Code,drug
Read,95542998,,res67: Hypertension_Drug_Code,drug
Read,95543998,,res67: Hypertension_Drug_Code,drug
Read,95545998,,res67: Hypertension_Drug_Code,drug
Read,95572992,,res67: Hypertension_Drug_Code,drug
Read,95588990,,res67: Hypertension_Drug_Code,drug
Read,95626997,,res67: Hypertension_Drug_Code,drug
Read,95626998,,res67: Hypertension_Drug_Code,drug
Read,95628996,,res67: Hypertension_Drug_Code,drug
Read,95628997,,res67: Hypertension_Drug_Code,drug
Read,95628998,,res67: Hypertension_Drug_Code,drug
Read,95631996,,res67: Hypertension_Drug_Code,drug
Read,95631997,,res67: Hypertension_Drug_Code,drug
Read,95631998,,res67: Hypertension_Drug_Code,drug
Read,95635990,,res67: Hypertension_Drug_Code,drug
Read,95642990,,res67: Hypertension_Drug_Code,drug
Read,95649990,,res67: Hypertension_Drug_Code,drug
Read,95673990,,res67: Hypertension_Drug_Code,drug
Read,95674990,,res67: Hypertension_Drug_Code,drug
Read,95675990,,res67: Hypertension_Drug_Code,drug
Read,95678990,,res67: Hypertension_Drug_Code,drug
Read,95680990,,res67: Hypertension_Drug_Code,drug
Read,95682990,,res67: Hypertension_Drug_Code,drug
Read,95684990,,res67: Hypertension_Drug_Code,drug
Read,95685990,,res67: Hypertension_Drug_Code,drug
Read,95688990,,res67: Hypertension_Drug_Code,drug
Read,95689990,,res67: Hypertension_Drug_Code,drug
